jobid,name,cluster,model_size,mubs,mbs,nnode,seq,tflops,elapsed_time_ms,gpu_latency
,DeepSpeed,spipe-v100,10,2,16,1,1024,,32246,
,Mobius,spipe-v100,10,2,16,1,1024,21.17,11922,6676
,Megatron,spipe-v100,10,2,16,1,1024,21.88,11540,6299
,SPipe,spipe-v100,10,2,16,1,1024,30.89,8171,6013
,DeepSpeed,spipe-v100,10,2,16,1,2048,,35374,
,Mobius,spipe-v100,10,2,16,1,2048,30.28,17326,12083
,Megatron,spipe-v100,10,2,16,1,2048,30.37,17274,12029
,SPipe,spipe-v100,10,2,16,1,2048,41.29,12707,11235
,DeepSpeed,spipe-v100,19,2,16,1,1024,,CPU OOM,
,Mobius,spipe-v100,19,2,16,1,1024,21.73,21610,11911
,Megatron,spipe-v100,19,2,16,1,1024,22.71,20679,11005
,SPipe,spipe-v100,19,2,16,1,1024,32.43,14478,10076
,DeepSpeed,spipe-v100,19,2,16,1,2048,,CPU OOM,
,Mobius,spipe-v100,19,2,16,1,2048,29.57,32679,22995
,Megatron,spipe-v100,19,2,16,1,2048,31.28,30893,21212
,SPipe,spipe-v100,19,2,16,1,2048,44.55,21692,19326
,DeepSpeed,spipe-v100,30,2,32,2,1024,,86053,
,Mobius,spipe-v100,30,2,32,2,1024,27.75,27862,19804
,Megatron,spipe-v100,30,2,32,2,1024,29.25,26432,18389
,SPipe,spipe-v100,30,2,32,2,1024,38.75,19953,17904
,DeepSpeed,spipe-v100,30,2,32,2,2048,,93059,
,Mobius,spipe-v100,30,2,32,2,2048,36.67,43521,35454
,Megatron,spipe-v100,30,2,32,2,2048,35.88,44480,36421
,SPipe,spipe-v100,30,2,32,2,2048,44.75,35666,33553
,DeepSpeed,spipe-v100,40,2,32,2,1024,,CPU OOM,
,Mobius,spipe-v100,40,2,32,2,1024,27.44,37069,26504
,Megatron,spipe-v100,40,2,32,2,1024,29.89,34031,23526
,SPipe,spipe-v100,40,2,32,2,1024,36.53,27844,25143
,DeepSpeed,spipe-v100,40,2,32,2,2048,,CPU OOM,
,Mobius,spipe-v100,40,2,32,2,2048,33.33,62747,52135
,Megatron,spipe-v100,40,2,32,2,2048,36.71,56977,46422
,SPipe,spipe-v100,40,2,32,2,2048,46.07,45399,42686
,DeepSpeed,spipe-v100,52,2,64,4,1024,,131783,
,Mobius,spipe-v100,52,2,64,4,1024,31.96,40510,33460
,Megatron,spipe-v100,52,2,64,4,1024,31.13,41584,34553
,SPipe,spipe-v100,52,2,64,4,1024,41.08,31516,29440
,DeepSpeed,spipe-v100,52,2,64,4,2048,,149111,
,Mobius,spipe-v100,52,2,64,4,2048,39.03,67991,60930
,Megatron,spipe-v100,52,2,64,4,2048,38.97,68103,61045
,SPipe,spipe-v100,52,2,64,4,2048,46.26,57362,55278
,DeepSpeed,spipe-v100,69,2,64,4,1024,,CPU OOM,
,Mobius,spipe-v100,69,2,64,4,1024,31.43,54605,45462
,Megatron,spipe-v100,69,2,64,4,1024,35.51,48335,39111
,SPipe,spipe-v100,69,2,64,4,1024,43.09,39835,37432
,DeepSpeed,spipe-v100,69,2,64,4,2048,,CPU OOM,
,Mobius,spipe-v100,69,2,64,4,2048,36.55,95951,86658
,Megatron,spipe-v100,69,2,64,4,2048,35.37,99156,89906
,SPipe,spipe-v100,69,2,64,4,2048,42.56,82414,79928
,DeepSpeed,spipe-v100,88,2,128,8,1024,,395640,
,Mobius,spipe-v100,88,2,128,8,1024,34.82,63303,57246
,Megatron,spipe-v100,88,2,128,8,1024,36.72,60034,53979
,SPipe,spipe-v100,88,2,128,8,1024,43.35,50854,49033
,DeepSpeed,spipe-v100,88,2,128,8,2048,,CPU OOM,
,Mobius,spipe-v100,88,2,128,8,2048,40.11,112872,106796
,Megatron,spipe-v100,88,2,128,8,2048,39.54,114502,108440
,SPipe,spipe-v100,88,2,128,8,2048,45.94,98547,96859
,DeepSpeed,spipe-v100,110,2,128,8,1024,,502802,
,Mobius,spipe-v100,110,2,128,8,1024,34.18,81345,73797
,Megatron,spipe-v100,110,2,128,8,1024,37.77,73625,66059
,SPipe,spipe-v100,110,2,128,8,1024,44.67,62245,60037
,DeepSpeed,spipe-v100,110,2,128,8,2048,,CPU OOM,
,Mobius,spipe-v100,110,2,128,8,2048,39.42,144457,136894
,Megatron,spipe-v100,110,2,128,8,2048,40.53,140493,132921
,SPipe,spipe-v100,110,2,128,8,2048,44.18,128899,126714
,DeepSpeed,spipe-3090,10,2,16,1,1024,,39712,
,Mobius,spipe-3090,10,2,16,1,1024,21.37,11797,7184
,Megatron,spipe-3090,10,2,16,1,1024,21.21,11900,7183
,SPipe,spipe-3090,10,2,16,1,1024,29.66,8511,7241
,DeepSpeed,spipe-3090,10,2,16,1,2048,,50428,
,Mobius,spipe-3090,10,2,16,1,2048,28.12,18659,13919
,Megatron,spipe-3090,10,2,16,1,2048,28.23,18584,13842
,SPipe,spipe-3090,10,2,16,1,2048,34.27,15312,14108
,DeepSpeed,spipe-3090,19,2,16,1,1024,,CPU OOM,
,Mobius,spipe-3090,19,2,16,1,1024,20.6,22799,14075
,Megatron,spipe-3090,19,2,16,1,1024,22.09,21255,12586
,SPipe,spipe-3090,19,2,16,1,1024,32.88,14283,12062
,DeepSpeed,spipe-3090,19,2,16,1,2048,,CPU OOM,
,Mobius,spipe-3090,19,2,16,1,2048,28.86,33487,24718
,Megatron,spipe-3090,19,2,16,1,2048,30.17,32033,23304
,SPipe,spipe-3090,19,2,16,1,2048,37.12,26034,23987
,DeepSpeed,spipe-3090,30,2,32,2,1024,,81539,
,Mobius,spipe-3090,30,2,32,2,1024,27.01,28629,21427
,Megatron,spipe-3090,30,2,32,2,1024,27.38,28239,21016
,SPipe,spipe-3090,30,2,32,2,1024,33.49,23087,21312
,DeepSpeed,spipe-3090,30,2,32,2,2048,,85515,
,Mobius,spipe-3090,30,2,32,2,2048,33.47,47676,39801
,Megatron,spipe-3090,30,2,32,2,2048,32.42,49230,41978
,SPipe,spipe-3090,30,2,32,2,2048,36.97,43171,41296
,DeepSpeed,spipe-3090,40,2,32,2,1024,,CPU OOM,
,Mobius,spipe-3090,40,2,32,2,1024,,CUDA OOM,
,Megatron,spipe-3090,40,2,32,2,1024,,CPU OOM,
,SPipe,spipe-3090,40,2,32,2,1024,33.96,29958,27610
,DeepSpeed,spipe-3090,40,2,32,2,2048,,CPU OOM,
,Mobius,spipe-3090,40,2,32,2,2048,,CUDA OOM,
,Megatron,spipe-3090,40,2,32,2,2048,,CUDA OOM,
,SPipe,spipe-3090,40,2,32,2,2048,38.34,54553,52267
,DeepSpeed,spipe-3090,52,2,64,4,1024,,270591,
,Mobius,spipe-3090,52,2,64,4,1024,30.32,42704,36400
,Megatron,spipe-3090,52,2,64,4,1024,30.49,42459,36197
,SPipe,spipe-3090,52,2,64,4,1024,33.99,38089,36276
,DeepSpeed,spipe-3090,52,2,64,4,2048,,391797,
,Mobius,spipe-3090,52,2,64,4,2048,32.85,80770,74490
,Megatron,spipe-3090,52,2,64,4,2048,33.79,78523,71555
,SPipe,spipe-3090,52,2,64,4,2048,36.4,72899,71175
,DeepSpeed,spipe-3090,69,2,64,4,1024,,CPU OOM,
,Mobius,spipe-3090,69,2,64,4,1024,28.83,59536,51185
,Megatron,spipe-3090,69,2,64,4,1024,31.46,54553,46284
,SPipe,spipe-3090,69,2,64,4,1024,35.99,47696,45549
,DeepSpeed,spipe-3090,69,2,64,4,2048,,CPU OOM,
,Mobius,spipe-3090,69,2,64,4,2048,,CUDA OOM,
,Megatron,spipe-3090,69,2,64,4,2048,,CUDA OOM,
,SPipe,spipe-3090,69,2,64,4,2048,34.84,100675,98515
,DeepSpeed,spipe-3090,88,2,128,8,1024,,327285,
,Mobius,spipe-3090,88,2,128,8,1024,31.04,71021,62637
,Megatron,spipe-3090,88,2,128,8,1024,31.01,71090,62546
,SPipe,spipe-3090,88,2,128,8,1024,34.58,63744,62206
,DeepSpeed,spipe-3090,88,2,128,8,2048,,CUDA OOM,
,Mobius,spipe-3090,88,2,128,8,2048,,CUDA OOM,
,Megatron,spipe-3090,88,2,128,8,2048,,CUDA OOM,
,SPipe,spipe-3090,88,2,128,8,2048,,CUDA OOM,
,DeepSpeed,spipe-3090,110,2,128,8,1024,,327577,
,Mobius,spipe-3090,110,2,128,8,1024,31.37,70273,61801
,Megatron,spipe-3090,110,2,128,8,1024,31.38,70240,63048
,SPipe,spipe-3090,110,2,128,8,1024,34.56,63784,62227
,DeepSpeed,spipe-3090,110,2,128,8,2048,,CUDA OOM,
,Mobius,spipe-3090,110,2,128,8,2048,,CUDA OOM,
,Megatron,spipe-3090,110,2,128,8,2048,,CUDA OOM,
,SPipe,spipe-3090,110,2,128,8,2048,,CUDA OOM,
